Power_Plant _Name,Company,Street Name,Postcode,City,Country,Capacity,Energy_source,Technology,CHP,Commissioned Year,Type,Latitude,Longitude,Energy_source_level_1,Energy_source_level_2,source
Kyrkösjärvi,Seinäjoen Energia Oy,Varastotie 5,60100,Seinäjoki,Finland,7.8,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Käenkoski,Killin Voima Oy,PL 25,34801,Virrat,Finland,2,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Lappeenranta Tg9,Upm-Kymmene Oyj,Ky-35,45700,Kuusankoski,Finland,67.3,Biomass and biogas,Other ,Yes,,CHP/IPP,61.065147,28.243317,Renewable energy,Bioenergy,energiavirasto.fi
"Lappeenranta, Kaukaan Tehdas",Kaukaan Voima Oy,Kaukaantie 16,53200,Lappeenranta,Finland,119,Biomass and biogas,Other ,Yes,,CHP/IPP,61.066667,28.244444,Renewable energy,Bioenergy,energiavirasto.fi
Lapua,Kiviristin Lämpö Oy,Makasiinintie 7,62100,Lapua,Finland,4,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Leppikoski,"Fortum Power & Heat , Generation",Keilaniementie 1,00048 Fortum,PL 100,Finland,24,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Lestijärvi,Verkko Korpela Oy,PL 13,69101,Kannus,Finland,1.3,Other or unspecified energy sources,Other ,No,,Standard Utility,,,Other or unspecified energy sources,Nuclear/Other,energiavirasto.fi
Leuhunkoski,Vattenfall Sähköntuotanto Oy,Maaistraatinportti 4 A,240,Helsinki,Finland,3.2,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Lieksa Kevätniemi,Vapo Oy,PL 22,40101,Jyväskylä,Finland,7,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Lieksankoski,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,18,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Lielahti,Tampereen Sähkölaitos,PL 175,33101,TAMPERE,Finland,142,Natural gas,Other ,Yes,,CHP/IPP,61.510417,23.675233,Fossil fuels,Natural gas,energiavirasto.fi
Liunankoski,Savon Voima Oyj,PL 1024,70901,Toivala,Finland,1.2,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Loviisa Kt,Fingrid Oyj,PL 530 ( Arkadiakatu 23 B),100,Helsinki,Finland,40,Oil,Other ,No,,Standard Utility,,,Fossil fuels,Oil,energiavirasto.fi
Loviisa Y1,"Fortum Power & Heat , Power",Keilaniementie 1,48,PL 100,Finland,507,Nuclear,Steam turbine,No,,Standard Utility,60.371235,26.347092,Nuclear,Nuclear/Other,energiavirasto.fi
Loviisa Y2,"Fortum Power & Heat , Power",Keilalahdentie 2-4,00048 Fortum,PL 100,Finland,507,Nuclear,Steam turbine,No,,Standard Utility,60.371235,26.347092,Nuclear,Nuclear/Other,energiavirasto.fi
Långfors,Oy Herrfors Ab,Storgatan 8,Postcode not available,68600 Jakobstad,Finland,1.2,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Maalismaa,Pvo Vesivoima Oy,Virkkulantie 207,91100,91100 Ii,Finland,38.5,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Maavesi,Savon Voima Oyj,PL 1024,70901,Toivala,Finland,1.9,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Mankala,Oy Mankala Ab,Sitikkalantie 189,47400,KAUSALA,Finland,30,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Martinlaakso,Vantaan Energia Oy,Peltolantie 27,1300,Vantaa,Finland,199.1,Biomass and biogas,Other ,Yes,,CHP/IPP,60.283333,24.836389,Renewable energy,Bioenergy,energiavirasto.fi
Matarakoski,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,11,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Melo,Pvo Vesivoima Oy,Virkkulantie 207,91100,91100 Ii,Finland,70,Hydro,Other ,No,,Standard Utility,61.463694,23.43675,Renewable energy,Hydro,energiavirasto.fi
Merikoski,Oulun Energia,"Kasarmintie 6, PL 116",90101,Oulu ,Finland,42,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Meri-Pori,"Fortum Power & Heat , Generation",Keilaniementie 1,00048 Fortum,PL 100,Finland,565,Hard coal,Steam turbine,No,,Standard Utility,61.632585,21.40646,Fossil fuels,Hard coal,energiavirasto.fi
Mertaniemi 1 Ja 2,Lappeenrannan Lämpövoima Oy,PL 191,53101,Lappeenranta,Finland,102,Oil,Other ,No,,Standard Utility,61.081336,28.17078,Fossil fuels,Oil,energiavirasto.fi
Montta,"Fortum Power & Heat , Generation",Keilaniementie 1,00048 Fortum,PL 100,Finland,47.3,Hydro,Other ,No,,Standard Utility,64.82075,26.015535,Renewable energy,Hydro,energiavirasto.fi
Mustio,Koskienergia Koskivoima Oy,Kotakennääntie 31,44100,Äänekoski,Finland,1.8,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Myllykoski,Koskienergia Koskivoima Oy,Kotakennääntie 31,44100,Äänekoski,Finland,1.3,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Myllykoski Ve,Myllykoski Paper Oy,Myllykoskentie 1,46800,Anjalankoski,Finland,25,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Myllykoski Vp,Upm,Hatanpään Valtatie,240,Tampere,Finland,32.8,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Mäkipää Diesel,Vaasan Sähköverkko Oy,PL 26,65101,Vaasa,Finland,1,Oil,Other ,No,,Standard Utility,,,Fossil fuels,Oil,energiavirasto.fi
Mänttä Lä,Mäntän Energia Oy,Lampilinnantie 4,35800,Mänttä,Finland,12,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Mänttä Ve,Mäntän Energia Oy,Lampilinnantie 4,35800,Mänttä,Finland,1.5,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Naantali,Turun Seudun Energiantuotanto Oy,PL 547,48,FORTUM,Finland,450,Hard coal,Steam turbine,Yes,,CHP/IPP,,,Fossil fuels,Hard coal,energiavirasto.fi
Naantali Kt,Fingrid Oyj,PL 530 ( Arkadiakatu 23 B),100,Helsinki,Finland,40,Oil,Other ,No,,Standard Utility,,,Fossil fuels,Oil,energiavirasto.fi
Naistenlahti 1,Tampereen Sähkölaitos,PL 175,33101,TAMPERE,Finland,129,Natural gas,Other ,Yes,,CHP/IPP,61.509751,23.777523,Fossil fuels,Natural gas,energiavirasto.fi
Naistenlahti 2,Tampereen Sähkölaitos,PL 175,33101,TAMPERE,Finland,62.2,Biomass and biogas,Other ,Yes,,CHP/IPP,61.509751,23.777523,Renewable energy,Bioenergy,energiavirasto.fi
Nastola Kt,Lahti Energia Oy,Street data not available,15141,City data not available,Finland,4.6,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,energiavirasto.fi
Nikkilä,Keravan Energia Oy,PL 37,4201,Kerava,Finland,5.4,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,energiavirasto.fi
Nivala,Nivalan Kaukolämpö Oy,Hyttitie 5,85500,Nivala ,Finland,5.3,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Nokia Kombi,Leppäkosken Sähkö Oy,Eino Salmelaisen katu 23,39501,Ikaalinen,Finland,72,Natural gas,Other ,Yes,,CHP/IPP,61.474321,23.496597,Fossil fuels,Natural gas,energiavirasto.fi
Nuojua,"Fortum Power & Heat , Generation",Keilaniementie 1,00048 Fortum,PL 100,Finland,85.2,Hydro,Other ,No,,Standard Utility,64.577562,26.713644,Renewable energy,Hydro,energiavirasto.fi
Oksava,Vattenfall Sähköntuotanto Oy,Maaistraatinportti 4 A,240,Helsinki,Finland,3,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Olkiluoto 1,Teollisuuden Voima Oy,Olkiluoto,27160,Olkiluoto,Finland,890,Nuclear,Steam turbine,No,,Standard Utility,61.237293,21.43869,Nuclear,Nuclear/Other,energiavirasto.fi
Olkiluoto 2,Teollisuuden Voima Oyj,Olkiluoto,27160,Olkiluoto,Finland,890,Nuclear,Steam turbine,No,,Standard Utility,61.237293,21.43869,Nuclear,Nuclear/Other,energiavirasto.fi
Olkiluoto Kt,Fingrid Oyj,PL 530 (Arkadiankatu 23 B),100,Helsinki,Finland,100.5,Oil,Other ,No,,Standard Utility,61.239622,21.448376,Fossil fuels,Oil,energiavirasto.fi
Ossauskoski,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,124,Hydro,Other ,No,,Standard Utility,66.155661,25.123996,Renewable energy,Hydro,energiavirasto.fi
Oulu,"Stora Enso Oyj, Oulun Tehdas",PL 196,90101,Oulu,Finland,105,Biomass and biogas,Other ,Yes,,CHP/IPP,65.006027,25.437086,Renewable energy,Bioenergy,energiavirasto.fi
"Oulu, Laanilan Voima",Laanilan Voima Oy,PL 191  (Typpitie),90101,Oulu,Finland,28,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Padinki,Korpelan Voima Kuntayhtymä,PL 13,69101,Kannus,Finland,1,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Pahkakoski,Pvo Vesivoima Oy,Virkkulantie 207,91100,91100 Ii,Finland,42.1,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Palokki,Pohjois-Karjalan Sähkö Oy,Rantakatu 29,80100,Joensuu,Finland,6.8,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Pamilo,Pamilo Oy,Tuohivaarantie 40,81330,Luhtapohja,Finland,85,Hydro,Other ,No,,Standard Utility,62.801178,30.426259,Renewable energy,Hydro,energiavirasto.fi
Pankakoski,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,15.6,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Parantalankoski,Koskienergia Oy,PL166,50101, Mikkeli,Finland,0.9,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Patalankoski,Upm-Kymmene Oyj,Ky-35,45700,Kuusankoski,Finland,2.4,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Peltokoski,Koskienergia Koskivoima Oy,Kotakennääntie 31,44100,Äänekoski,Finland,2.3,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Permantokoski,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,13,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Petäjäskoski,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,182,Hydro,Other ,No,,Standard Utility,66.272077,25.337247,Renewable energy,Hydro,energiavirasto.fi
Pieksämäki,Savon Voima Oyj,PL 1024,70901,Toivala,Finland,10,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Pietarsaari (Wisapower Oy),Upm-Kymmene Oyj Wisaforest,Ky-35,45700,Kuusankoski,Finland,116,Biomass and biogas,Other ,Yes,,CHP/IPP,63.701279,22.71243,Renewable energy,Bioenergy,energiavirasto.fi
Pihlava,Pori Energia Oy,PL 9 (Radanvarsi 2),28101,PORI,Finland,0,Biomass and biogas,Other ,No,,Standard Utility,,,Renewable energy,Bioenergy,energiavirasto.fi
Pirttikoski,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,152,Hydro,Other ,No,,Standard Utility,66.340106,27.154137,Renewable energy,Hydro,energiavirasto.fi
Pitkämö,Koskienergia Koskivoima Oy,Kotakennääntie 31,44100,Äänekoski,Finland,6.3,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Pori,Porin Prosessivoima Oy,Töölönkatu 4,Postcode not available,00101 Helsinki,Finland,81.4,Biomass and biogas,Other ,Yes,,CHP/IPP,61.575905,21.55656,Renewable energy,Bioenergy,energiavirasto.fi
Portimokoski,Tornionlaakson Voima Oy-,Myllytie 1,95700,Pello,Finland,11,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Porttipahta,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,35,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Porvoo,Kilpilahden Voimalaitos Oy,PL 1001,6401,Porvoo,Finland,31,Oil,Other ,No,,Standard Utility,60.310398,25.523361,Fossil fuels,Oil,energiavirasto.fi
Porvoo Kilpilahti,Fingrid Oyj,PL 530 ( Arkadiakatu 23 B),100,Helsinki,Finland,27,Oil,Other ,No,,Standard Utility,60.310398,25.523361,Fossil fuels,Oil,energiavirasto.fi
Porvoo Kt 2,Kilpilahden Voimalaitos Oy,PL 1001,6401,Porvoo,Finland,48,Natural gas,Other ,Yes,,CHP/IPP,60.310398,25.523361,Fossil fuels,Natural gas,energiavirasto.fi
Porvoo Kt 3,Kilpilahden Voimalaitos Oy,PL 1001,6401,Porvoo,Finland,72.6,Natural gas,Other ,Yes,,CHP/IPP,60.310398,25.523361,Fossil fuels,Natural gas,energiavirasto.fi
Porvoo Tolkkinen,Fingrid Oyj,PL 530 ( Arkadiakatu 23 B),100,Helsinki,Finland,40,Oil,Other ,No,,Standard Utility,60.310398,25.523361,Fossil fuels,Oil,energiavirasto.fi
Posion Chp-Laitos,Posion Vesi Ja Lämpö Oy,Kirkkotie 1,97900, POSIO,Finland,0.6,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Puntarikoski,Pohjois-Karjalan Sähkö Oy,Rantakatu 29,80100,Joensuu,Finland,6.9,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Pursiala 1,Etelä-Savon Energia Oy,Kanavakatu 2 (PL 166),50100,MIKKELI,Finland,27,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Pursiala 2,Etelä-Savon Energia Oy,Vuorikatu 19,50100,MIKKELI,Finland,32,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Puulaakso,Puulaakson Energia Oy,"C/O Vattenfall Sähköntuotanto Oy, Maistraatinportti 4",240,Helsinki,Finland,0.9,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Pyhäkoski,"Fortum Power & Heat , Generation",Keilaniementie 1,00048 Fortum,PL 100,Finland,146,Hydro,Other ,No,,Standard Utility,64.846216,26.039947,Renewable energy,Hydro,energiavirasto.fi
Pyhännänkoski,Kainuun Energia Oy,Ahontie 1,87101,Kajaani,Finland,2.9,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Pälli,"Fortum Power & Heat , Generation",Keilaniementie 1,00048 Fortum,PL 100,Finland,50.7,Hydro,Other ,No,,Standard Utility,64.843919,26.195556,Renewable energy,Hydro,energiavirasto.fi
Raahe,Raahen Voima Oyj,PL 155,92101,Raahen Voima Oyj,Finland,94,Other fossil fuels,Other ,Yes,,CHP/IPP,,,Fossil fuels,Other fossil fuels,energiavirasto.fi
Raasakka,Pvo Vesivoima Oy,Virkkulantie 207,91100,91100 Ii,Finland,60,Hydro,Other ,No,,Standard Utility,65.334764,25.411123,Renewable energy,Hydro,energiavirasto.fi
Raisio,Raisionkaaren Teollisuuspuisto Oy,PL 101,21201,RAISIO,Finland,0,Oil,Other ,No,,Standard Utility,,,Fossil fuels,Oil,energiavirasto.fi
Rauhalahti,Jyväskylän Energiantuotanto Oy,PL 4,40101,Jyväskylä,Finland,80,Biomass and biogas,Other ,Yes,,CHP/IPP,62.237713,25.809424,Renewable energy,Bioenergy,energiavirasto.fi
Rauma,Metsä Fibre Oy,Revontulentie 6,2100,Espoo,Finland,75,Biomass and biogas,Other ,Yes,,CHP/IPP,61.111362,21.466712,Renewable energy,Bioenergy,energiavirasto.fi
Rengon Saha,Biokraft Oy,c/o Vapo Oy,40101,PL 22,Finland,1.3,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Riihimäki (Ekokem),Ekokem Oy Ab,PL 181,11101,RIIHIMÄKI,Finland,19.6,Other fossil fuels,Other ,Yes,,CHP/IPP,,,Fossil fuels,Other fossil fuels,energiavirasto.fi
Riikinvoima,Riikinvoima Oy,Riikinnevantie 153,78210,Varkaus,Finland,11.8,Mixed fossil fuels,Other ,Yes,,CHP/IPP,,,Fossil fuels,Mixed fossil fuels,energiavirasto.fi
Ristiina,Järvi-Suomen Voima Oy,Töölönkatu 4,100,Helsinki,Finland,8.5,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Ruskeakoski,Pohjois-Karjalan Sähkö Oy,Rantakatu 29,80100,Joensuu,Finland,3.3,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Ruusutarhat,Ruusutarhat Suutari Oy,Jyrääntie 400,45100,45100   Kouvola,Finland,2.7,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,energiavirasto.fi
"Röyttä, Tornion Tehtaat, 11 Generaattoria",Outokumpu Stainless Oy,Tornion Tehtaat,95400,95400,Finland,16,Oil,Other ,No,,Standard Utility,,,Fossil fuels,Oil,energiavirasto.fi
Saario,Pohjois-Karjalan Sähkö Oy,Rantakatu 29,80100,Joensuu,Finland,1.6,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Sallila,Sallila Energia Oy,Loimijoentie 65,32440,Alastaro,Finland,1.2,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Salmisaari B,Helsingin Energia,Kampinkuja 2,90,HELEN,Finland,163,Hard coal,Steam turbine,Yes,,CHP/IPP,60.164649,24.904001,Fossil fuels,Hard coal,energiavirasto.fi
Salo,Voimavasu Oy,PL 22,40101,Jyväskylä,Finland,13.5,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Savela,Jyväskylän Energiantuotanto Oy,PL 4,40101,Jyväskylä,Finland,0,Oil,Other ,No,,Standard Utility,,,Fossil fuels,Oil,energiavirasto.fi
Savio,Keravan Energia Oy,PL 37,4201,Kerava,Finland,3.9,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,energiavirasto.fi
Savonlinna,Järvi-Suomen Voima Oy,Töölönkatu 4,100,Helsinki,Finland,17.5,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Seinäjoki (Sevo),Seinäjoen Voima Oy,Kirkkopuistikko 0,65100,Vaasa,Finland,120,Biomass and biogas,Other ,Yes,,CHP/IPP,62.741444,22.815655,Renewable energy,Bioenergy,energiavirasto.fi
Seitakorva,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,144,Hydro,Other ,No,,Standard Utility,66.405623,27.328094,Renewable energy,Hydro,energiavirasto.fi
Seitenoikea,"Fortum Power & Heat , Generation",Keilaniementie 1,00048 Fortum,PL 100,Finland,37.9,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Siikakoski,Kss Energia Oy,Paimenpolku 3,45100,Kouvola,Finland,1.8,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
"Siilinjärvi, V1 Turb. Ja Vp Turb.",Yara Suomi Oy,"Nilsiäntie 501, PL 20",71801,Siilinjärvi,Finland,25.1,Other or unspecified energy sources,Other ,Yes,,CHP/IPP,,,Other or unspecified energy sources,Nuclear/Other,energiavirasto.fi
Simpele,Metsä Board Oyj,Revontulentie 6,2100,Espoo,Finland,34.5,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Siuronkoski,Virolan Puutarha,Tiihalantie 194,36270,Kangasala,Finland,0.7,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Sodankylän Varuskunta,Puolustushallinnon Rakennuslaitos,"Unioninkatu 8, PL 199",131,Helsinki,Finland,0.9,Oil,Other ,No,,Standard Utility,,,Fossil fuels,Oil,energiavirasto.fi
Soilu,Koskienergia Koskivoima Oy,Kotakennääntie 31,44100,Äänekoski,Finland,1.8,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Soininkoski,Killin Voima Oy,PL 25,34801,Virrat,Finland,1.42,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Sopenkorpi,Lahti Energia Oy,Street data not available,15141,City data not available,Finland,14.5,Oil,Other ,No,,Standard Utility,,,Fossil fuels,Oil,energiavirasto.fi
Sotkamo,Vapo Oy,PL 22,40101,Jyväskylä,Finland,1.3,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Stadsforsens Kraftverk,Nykarleby Kraftverk,Kvarnvägen 20,66900,Nykarleby,Finland,4.6,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Sunila,Stora Enso Oyj,Sunilantie 1,48900,Sunila,Finland,35.7,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Suomenojan Voimalaitos,Fortum Power And Heat Oy,PL 100,48,FORTUM,Finland,358,Hard coal,Steam turbine,Yes,,CHP/IPP,60.149125,24.718365,Fossil fuels,Hard coal,energiavirasto.fi
Suosiola,Rovaniemen Energia Oy,Koskikatu 27,96100,96101 ROVANIEMI,Finland,30,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Säkylä,Voimavasu Oy,PL 22,40101,Jyväskylä,Finland,8.8,Oil,Other ,Yes,,CHP/IPP,,,Fossil fuels,Oil,energiavirasto.fi
Sälevä,Savon Voima Oyj,PL 1024,70901,Toivala,Finland,3,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Sänkiaho,Alajärven Sähkö Oy,Kauppakatu 1,62900,Alajärvi,Finland,2.1,Oil,Other ,No,,Standard Utility,,,Fossil fuels,Oil,energiavirasto.fi
Tahkoluoto,Pvo-Lämpövoima Oy,Frilundintie 7,65170,Vaasa,Finland,0,Hard coal,Steam turbine,No,,Standard Utility,61.632619,21.406289,Fossil fuels,Hard coal,energiavirasto.fi
Tahkoluoto Kt,Fingrid Oyj,PL 530 ( Arkadiakatu 23 B),100,Helsinki,Finland,52,Oil,Other ,No,,Standard Utility,61.632619,21.406289,Fossil fuels,Oil,energiavirasto.fi
Tainionkoski,Fortum Power And Heat Oy,Keilalahdentie 2-4,00048 Fortum,PL 100,Finland,65.5,Hydro,Other ,No,,Standard Utility,61.210576,28.782635,Renewable energy,Hydro,energiavirasto.fi
Taivalkoski,Kemijoki Oy,PL 8131,96101,ROVANIEMI,Finland,133,Hydro,Other ,No,,Standard Utility,65.931144,24.713095,Renewable energy,Hydro,energiavirasto.fi
Tako T2 Ja T5,Metsä Board Oyj,Revontulentie 6,2100,Espoo,Finland,16.5,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,energiavirasto.fi
Tammerkoski,Tampereen Sähkölaitos,PL 175,33101,TAMPERE,Finland,8.6,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Tammervoima,Tammervoima Oy,Voimakatu 17,33100,Tampere,Finland,12.3,Other fossil fuels,Other ,Yes,,CHP/IPP,,,Fossil fuels,Other fossil fuels,energiavirasto.fi
Tampella Ve,Tampereen Sähkölaitos,PL 175,33101,TAMPERE,Finland,3.01,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Tervakoski Lä,Tervakoski Oy,Vähikkäläntie 1,12400,Tervakoski,Finland,11.4,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,energiavirasto.fi
Tervasaari Lä,Upm-Kymmene Oyj,Ky-35,37601,Kuusankoski,Finland,41,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Tervasaari Ve,Upm-Kymmene Oyj,Ky-35,45700,Kuusankoski,Finland,3,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Tiihala,Virolan Puutarha,Tiihalantie 194,36270,Kangasala,Finland,1,Oil,Other ,Yes,,CHP/IPP,,,Fossil fuels,Oil,energiavirasto.fi
Toholampi,Toholammin Energia Oy,Lampintie 5,69300,Toholampi,Finland,1.3,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Tolkkinen 1,Porvoon Energia Oy,Street data not available,6100,City data not available,Finland,7.8,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
"Tolkkinen, Biolaitos",Porvoon Energia Oy,Mannerheiminkatu 24,6100, Porvoo,Finland,11.3,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Topinojan Biokaasulaitos,Höyrytys Oy,Palokorvenkatu 2,4261,Kerava,Finland,0.8,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Toppila 1,Oulun Energia Oy,"Kasarmintie 6, PL 116",90101,Oulu ,Finland,65,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Toppila 2,Oulun Energia Oy,"Kasarmintie 6, PL 116",90101,Oulu ,Finland,98,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Tornio,Tornion Voima Oy,"c/o Etelä-Pohjanmaan Voima Oy, Frilundintie 7",65170,Vaasa,Finland,39.3,Biomass and biogas,Other ,Yes,,CHP/IPP,,,Renewable energy,Bioenergy,energiavirasto.fi
Tyrvää,Upm Energy Oy,Ky-35,37601,Kuusankoski,Finland,13.5,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Uimaharju 2 + 1 Vp/Lv,Stora Enso Oyj Enocellin Tehdas,PL 2,81281,Uimaharju,Finland,105,Biomass and biogas,Other ,Yes,,CHP/IPP,62.923072,30.224046,Renewable energy,Bioenergy,energiavirasto.fi
Uljua,Vattenfall Sähköntuotanto Oy,Maaistraatinportti 4 A,240,Helsinki,Finland,3.7,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,energiavirasto.fi
Utanen,"Fortum Power & Heat , Generation",Keilaniementie 1,00048 Fortum,PL 100,Finland,57.8,Hydro,Other ,No,,Standard Utility,64.736763,26.478573,Renewable energy,Hydro,energiavirasto.fi
Uusikaupunki,Yara Suomi Oy,PL 5 Uusikaupunki,23501,Uusikaupunki,Finland,14.2,Other or unspecified energy sources,Other ,Yes,,CHP/IPP,,,Other or unspecified energy sources,Nuclear/Other,energiavirasto.fi
