Power_Plant _Name,Company,Street Name,Postcode,City,Country,Capacity,Energy_source,Technology,CHP,Commissioned Year,Type,Latitude,Longitude,Energy_source_level_1,Energy_source_level_2,source
Saint-Ghislain Steg,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,350,Natural gas,Combined cycle,No,,Standard Utility,50.47167,3.82521,Fossil fuels,Natural gas,www.elia.be
Schaerbeek Siomab St1,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,15,Non-renewable waste,Steam turbine,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Schaerbeek Siomab St2,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,15,Non-renewable waste,Steam turbine,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Schaerbeek Siomab St3,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,15,Non-renewable waste,Steam turbine,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Scheldelaan Exxonmobil,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,140,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Tihange 1N,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,481,Nuclear,Steam turbine,No,,Standard Utility,50.53464,5.27121,Nuclear,Nuclear/Other,www.elia.be
Tihange 1S,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,481,Nuclear,Steam turbine,No,,Standard Utility,50.53464,5.27121,Nuclear,Nuclear/Other,www.elia.be
Tihange 2,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,1008,Nuclear,Steam turbine,No,,Standard Utility,50.53464,5.27121,Nuclear,Nuclear/Other,www.elia.be
Tihange 3,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,1038,Nuclear,Steam turbine,No,,Standard Utility,50.53464,5.27121,Nuclear,Nuclear/Other,www.elia.be
Turon Tj,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,18.6,Oil,Gas turbine,No,,Standard Utility,,,Fossil fuels,Oil,www.elia.be
Vilvoorde Gt,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,255,Natural gas,Gas turbine,No,,Standard Utility,,,Fossil fuels,Natural gas,www.elia.be
Wilmarsdonk Total Gt1,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Wilmarsdonk Total Gt2,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Wilmarsdonk Total Gt3,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Wilrijk Isvag,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,12,Non-renewable waste,Other ,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Zandvliet Power,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,386.2,Natural gas,Combined cycle,No,,Standard Utility,51.36977,4.26667,Fossil fuels,Natural gas,www.elia.be
Zedelgem Tj,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,18,Oil,Gas turbine,No,,Standard Utility,,,Fossil fuels,Oil,www.elia.be
Zeebrugge 2 Fluxys,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,40,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Zeebrugge Tj,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,18,Oil,Gas turbine,No,,Standard Utility,,,Fossil fuels,Oil,www.elia.be
Zelzate 2 Knippegroen,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,315,Mixed fossil fuels,Steam turbine,No,,Standard Utility,51.15861,3.80746,Fossil fuels,Mixed fossil fuels,www.elia.be
Zelzate Tj,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,18,Oil,Gas turbine,No,,Standard Utility,51.15879,3.80815,Fossil fuels,Oil,www.elia.be
Zwijndrecht Lanxess Gt,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Zwijndrecht Lanxess St,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,15,Natural gas,Steam turbine,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
